Model,ClickType,Hit@10,NDCG@10
GRU4Rec,click,0.40644820295983086,0.34427360798257856
GRU4Rec,purchase,0.5360824742268041,0.44298794416091825
GRUSQNRec,click,0.4201902748414376,0.3590130121082887
GRUSQNRec,purchase,0.5451229183187946,0.44891380873773895
GRUSACRec,click,0.22743128964059198,0.18137211911144013
GRUSACRec,purchase,0.38207771609833463,0.30554384541927493
GRUDQNRec,click,0.0019556025369978857,0.0017075711857314846
GRUDQNRec,purchase,0.0025376685170499604,0.0017522420323528437
GRUBCQRec,click,0.25634249471458775,0.25104358143175126
GRUBCQRec,purchase,0.35051546391752575,0.329744116239941
GRUSQNRec,click,0.4148520084566596,0.35325710465678706
GRUSQNRec,purchase,0.555908009516257,0.456454755657727
GRUSACRec,click,0.2123678646934461,0.16881383189313257
GRUSACRec,purchase,0.3681205392545599,0.2989445025064376
GRU4Rec,click,0.4045983086680761,0.34477601092127613
GRU4Rec,purchase,0.5384615384615384,0.44130613931959156
